Index,Company,Type_name,Ram,Weight,Price,Touchscreen,IPS,PPI,Cpu_brand,Gpu_brand,HDD,SSD,Hybrid,Flash_storage,OS
129,HP,Notebook,8,2.5,543.88,0,0,127.33567457123112,Intel Core i5,Intel,0,256,0,0,Windows
130,Dell,Notebook,8,2.36,374.5,0,0,100.45466986113652,Intel Core i5,AMD,1000,0,0,0,Windows
131,Dell,Notebook,4,2.2,263.15,0,0,141.21199808219862,Intel Core i3,AMD,1000,0,0,0,Windows
132,Acer,Ultrabook,8,1.6,518.09,0,1,157.3505121487356,Intel Core i7,Intel,0,256,0,0,Windows
133,Acer,Notebook,4,7.2,335.24,0,0,141.21199808219862,Intel Core i3,Nvidia,0,256,0,0,Windows
134,HP,Notebook,8,2.05,350.48,0,0,100.45466986113652,Intel Core i7,Intel,1000,0,0,0,Windows
135,HP,Notebook,8,1.63,579.05,0,0,157.3505121487356,Intel Core i7,Intel,0,256,0,0,Windows
136,Lenovo,Notebook,4,1.9,147.9,0,0,100.45466986113652,Other Intel Processor,Intel,1000,0,0,0,Others
137,Asus,Gaming,8,3.0,549.74,0,0,127.33567457123112,Intel Core i5,Nvidia,1000,128,0,0,Windows
138,Lenovo,Notebook,4,2.2,292.45,0,0,141.21199808219862,Intel Core i5,Nvidia,1000,0,0,0,Others
139,HP,Notebook,4,1.32,409.67,0,1,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
140,Acer,Notebook,4,3.0,383.88,0,1,127.33567457123112,Intel Core i3,Nvidia,1000,0,0,0,Windows
141,Lenovo,Notebook,8,1.75,654.08,0,1,157.3505121487356,Intel Core i5,AMD,0,256,0,0,Windows
142,Lenovo,Gaming,8,2.4,509.3,0,1,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0,Others
143,Toshiba,Notebook,4,2.1,352.82,0,0,100.45466986113652,Intel Core i5,Intel,500,0,0,0,Windows
144,HP,Notebook,4,1.86,216.26,0,0,100.45466986113652,AMD Processor,AMD,0,256,0,0,Windows
145,Asus,Ultrabook,8,1.25,644.1,0,0,157.3505121487356,Intel Core i7,Intel,0,256,0,0,Windows
146,HP,Ultrabook,8,0.97,1180.37,1,1,352.4651472131677,Other Intel Processor,Intel,0,512,0,0,Windows
147,Asus,Notebook,4,2.0,201.61,0,0,141.21199808219862,Other Intel Processor,Intel,1000,0,0,0,Windows
149,Acer,Notebook,4,2.1,261.98,0,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Windows
150,Dell,Gaming,16,2.56,732.17,0,0,141.21199808219862,Intel Core i7,Nvidia,0,512,0,0,Windows
151,Dell,Gaming,8,2.62,526.89,0,0,141.21199808219862,Intel Core i7,Nvidia,0,0,1000,0,Windows
152,Lenovo,Notebook,4,1.9,291.87,0,0,100.45466986113652,Intel Core i5,Intel,0,128,0,0,Windows
153,MSI,Gaming,16,2.8,1107.69,0,0,127.33567457123112,Intel Core i7,Nvidia,1000,256,0,0,Windows
154,HP,Ultrabook,4,1.48,634.14,0,0,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
155,HP,Notebook,6,1.91,362.78,0,0,141.21199808219862,Intel Core i5,AMD,0,256,0,0,Windows
156,Lenovo,2 in 1 Convertible,4,1.74,368.64,1,1,157.3505121487356,Intel Core i3,Intel,0,256,0,0,Windows
157,Asus,2 in 1 Convertible,8,1.1,770.7,1,0,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
158,Dell,2 in 1 Convertible,8,1.56,614.8,1,0,141.21199808219862,Intel Core i7,Intel,0,256,0,0,Windows
159,Toshiba,Notebook,4,2.1,261.98,0,0,100.45466986113652,Intel Core i3,Intel,500,0,0,0,Windows
160,Asus,Notebook,4,2.03,236.19,0,0,100.45466986113652,AMD Processor,AMD,1000,0,0,0,Windows
161,Acer,Notebook,4,3.0,471.79,0,1,127.33567457123112,Intel Core i5,Nvidia,0,256,0,0,Windows
162,Dell,Notebook,8,2.13,426.67,0,0,141.21199808219862,Intel Core i5,AMD,0,256,0,0,Windows
163,Lenovo,Gaming,16,2.5,632.38,0,1,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0,Windows
164,Acer,Notebook,4,2.1,203.96,0,0,100.45466986113652,Other Intel Processor,Intel,1000,0,0,0,Windows
165,MSI,Gaming,16,2.4,1054.36,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,256,0,0,Windows
166,Acer,Notebook,4,2.1,213.05,0,0,100.45466986113652,Other Intel Processor,Intel,1000,0,0,0,Windows
167,Dell,Gaming,8,2.56,621.53,0,0,141.21199808219862,Intel Core i7,Nvidia,1000,128,0,0,Windows
168,Acer,Notebook,8,3.0,500.51,0,1,127.33567457123112,Intel Core i5,Nvidia,0,256,0,0,Windows
169,HP,Notebook,4,1.49,441.9,0,1,165.6321180513006,Intel Core i5,Intel,500,0,0,0,Windows
170,Huawei,Ultrabook,8,1.05,790.62,0,1,199.69207064108247,Intel Core i5,Intel,0,256,0,0,Windows
171,HP,Notebook,6,2.71,409.67,0,1,127.33567457123112,Intel Core i5,AMD,2000,0,0,0,Windows
172,Lenovo,Notebook,4,2.2,181.1,0,0,100.45466986113652,AMD Processor,AMD,500,0,0,0,Others
173,Toshiba,Notebook,4,5.4,286.59,0,0,100.45466986113652,Intel Core i3,Intel,500,0,0,0,Windows
174,HP,Notebook,8,2.5,540.95,0,0,127.33567457123112,Intel Core i5,Nvidia,0,256,0,0,Windows
175,Dell,Notebook,8,2.3,269.01,0,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Windows
176,Acer,Notebook,4,2.1,263.15,0,0,100.45466986113652,Intel Core i3,Intel,0,128,0,0,Windows
177,MSI,Gaming,32,4.4,1640.44,0,0,119.7232157653423,Intel Core i7,Nvidia,1000,512,0,0,Windows
178,Lenovo,Notebook,8,1.9,476.48,0,0,141.21199808219862,Intel Core i5,AMD,1000,128,0,0,Windows
179,HP,2 in 1 Convertible,8,1.29,878.53,1,1,331.2642361026012,Intel Core i5,Intel,0,256,0,0,Windows
180,Dell,Notebook,16,2.02,614.8,0,0,141.21199808219862,Intel Core i7,AMD,2000,256,0,0,Others
181,Dell,Ultrabook,8,1.23,819.93,0,0,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
182,Lenovo,2 in 1 Convertible,16,1.4,1083.66,1,1,316.96506044349616,Intel Core i7,Intel,0,512,0,0,Windows
183,Toshiba,Notebook,8,2.0,464.76,0,0,100.45466986113652,Intel Core i5,Intel,0,128,0,0,Windows
184,Xiaomi,Notebook,8,1.95,702.71,0,1,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Others
185,Dell,Notebook,16,2.77,907.84,1,0,127.33567457123112,Intel Core i7,Nvidia,0,512,0,0,Windows
186,Dell,Notebook,16,2.06,1404.83,1,0,282.42399616439724,Intel Core i7,Nvidia,0,512,0,0,Windows
187,Lenovo,Gaming,8,2.4,456.56,0,1,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Others
188,Acer,Ultrabook,8,1.12,579.63,0,1,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
189,Dell,Notebook,8,2.8,635.9,0,0,127.33567457123112,Intel Core i7,AMD,1000,128,0,0,Windows
191,Vero,Notebook,4,1.3,152.38,0,1,157.3505121487356,Other Intel Processor,Intel,0,0,0,32,Windows
192,Xiaomi,Ultrabook,8,1.3,586.02,0,1,165.6321180513006,Intel Core i5,Nvidia,0,256,0,0,Others
193,Lenovo,Notebook,8,2.8,409.08,0,0,106.11306214269258,Intel Core i5,Nvidia,0,256,0,0,Others
194,Dell,2 in 1 Convertible,8,1.62,491.72,1,1,165.6321180513006,Intel Core i7,Intel,1000,0,0,0,Windows
195,HP,Notebook,8,2.5,535.68,0,1,127.33567457123112,Intel Core i5,Nvidia,1000,0,0,0,Windows
196,Razer,Gaming,32,3.49,3574.5,1,0,254.67134914246225,Intel Core i7,Nvidia,0,1000,0,0,Windows
197,HP,Notebook,8,1.49,562.05,0,0,165.6321180513006,Intel Core i5,Intel,0,512,0,0,Windows
198,HP,Gaming,16,3.35,808.2,0,1,127.33567457123112,Intel Core i7,Nvidia,1000,256,0,0,Windows
199,HP,Notebook,8,2.5,612.45,0,0,127.33567457123112,Intel Core i7,Nvidia,0,256,0,0,Windows
200,Dell,Gaming,16,2.65,1081.32,0,1,282.42399616439724,Intel Core i7,Nvidia,1000,512,0,0,Windows
201,Lenovo,Notebook,4,2.1,288.94,0,0,100.45466986113652,Intel Core i5,Intel,0,128,0,0,Windows
202,Acer,Notebook,8,2.23,434.87,0,0,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0,Windows
203,Lenovo,Gaming,16,3.2,1025.05,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,512,0,0,Windows
204,Dell,Workstation,16,2.8,1790.47,0,0,282.42399616439724,Other Intel Processor,Nvidia,1000,256,0,0,Windows
205,Lenovo,Gaming,16,2.4,819.34,0,0,141.21199808219862,Intel Core i7,Nvidia,0,512,0,0,Others
206,Dell,Notebook,6,2.3,257.29,1,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Windows
207,Dell,Ultrabook,8,1.21,1142.27,1,1,331.2642361026012,Intel Core i7,Intel,0,256,0,0,Windows
210,Acer,Notebook,8,2.4,456.56,0,0,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0,Others
211,Asus,Gaming,16,2.9,824.61,0,0,127.33567457123112,Intel Core i7,Nvidia,1000,256,0,0,Windows
212,HP,Notebook,4,2.1,204.54,0,0,141.21199808219862,Intel Core i3,Intel,500,0,0,0,Others
213,Lenovo,Notebook,8,2.2,321.76,0,0,141.21199808219862,Intel Core i5,Intel,0,256,0,0,Others
214,Huawei,Ultrabook,8,1.05,878.53,0,1,199.69207064108247,Intel Core i7,Intel,0,512,0,0,Windows
215,Dell,Ultrabook,8,1.4,546.16,0,1,165.6321180513006,Intel Core i7,AMD,0,256,0,0,Windows
216,Lenovo,Notebook,8,2.8,345.2,0,0,106.11306214269258,Intel Core i5,Nvidia,1000,0,0,0,Others
217,HP,Notebook,8,1.63,604.25,0,0,157.3505121487356,Intel Core i7,Nvidia,0,256,0,0,Windows
218,Dell,Ultrabook,8,1.6,673.41,0,0,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
219,Dell,2 in 1 Convertible,16,1.62,749.6,1,0,165.6321180513006,Intel Core i7,Intel,0,512,0,0,Windows
220,Dell,Notebook,8,2.2,396.98,0,0,141.21199808219862,Intel Core i5,AMD,0,256,0,0,Others
221,Lenovo,2 in 1 Convertible,8,1.74,526.89,0,1,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
222,Toshiba,Ultrabook,8,1.2,798.83,0,0,165.6321180513006,Intel Core i7,Intel,0,256,0,0,Windows
223,HP,Notebook,8,2.1,465.35,0,0,141.21199808219862,Intel Core i5,Intel,1000,0,0,0,Windows
224,Dell,Gaming,16,4.42,1439.61,0,1,127.33567457123112,Intel Core i7,Nvidia,1000,256,0,0,Windows
225,Acer,Notebook,8,2.2,487.62,0,0,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0,Windows
226,Dell,Notebook,16,2.3,503.45,1,0,141.21199808219862,Intel Core i7,AMD,1000,0,0,0,Windows
227,Asus,Notebook,8,2.0,450.7,0,0,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Windows
228,Asus,Notebook,8,2.69,522.2,0,0,127.33567457123112,Intel Core i5,Nvidia,500,256,0,0,Windows
229,HP,Notebook,8,1.9,743.74,0,0,141.21199808219862,Intel Core i7,AMD,1000,0,0,0,Windows
230,Asus,Notebook,4,2.37,233.84,0,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Windows
231,HP,Notebook,4,2.1,193.41,0,0,100.45466986113652,AMD Processor,AMD,500,0,0,0,Windows
232,Lenovo,Gaming,16,3.2,878.53,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,256,0,0,Windows
233,Dell,Notebook,8,1.6,503.44,0,0,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
234,Acer,2 in 1 Convertible,8,1.6,403.81,1,1,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
235,Dell,Notebook,16,2.36,526.89,0,0,141.21199808219862,Intel Core i7,AMD,0,256,0,0,Others
236,Acer,Notebook,4,2.1,228.57,0,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Others
237,Asus,Notebook,4,2.2,337.0,0,0,141.21199808219862,AMD Processor,AMD,1000,128,0,0,Windows
238,Asus,Gaming,32,4.7,2279.85,0,0,127.33567457123112,Intel Core i7,Nvidia,1000,512,0,0,Windows
239,Acer,Gaming,8,2.5,495.82,0,1,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Windows
240,Lenovo,Notebook,8,7.2,345.2,0,0,100.45466986113652,Intel Core i3,Intel,0,128,0,0,Windows
241,Asus,Notebook,8,2.1,671.06,0,0,127.33567457123112,Intel Core i7,Nvidia,1000,128,0,0,Windows
242,Asus,Notebook,8,2.69,521.03,0,0,127.33567457123112,Intel Core i7,Nvidia,1000,128,0,0,Others
243,Dell,Gaming,8,2.56,515.16,0,0,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Windows
